day,dt,temp,chau_z,chau_h
0.10000000000000142,3.41,-4.5,0.14,0
1.0,20.59,-4.5,0.22,0
2.0,24.0,-8.5,0.342,0
3.0,24.0,-9.3,0.439,0
4.0,24.0,-7.5,0.502,0
5.0,24.0,-9.5,0.573,0
5.299999999999997,8.36,-8.5,0.59,0
6.0,15.64,-8.5,0.594,0
7.0,24.0,-11.8,0.606,0
8.0,24.0,-16.0,0.625,0
9.0,24.0,-4.8,0.624,0
10.0,24.0,-9.5,0.631,0
11.0,24.0,-11.0,0.641,0
12.0,24.0,-6.3,0.643,0
13.0,24.0,-9.0,0.65,0
13.0,0.38,-5.8,0.65,0
14.0,23.62,-5.8,0.65,0
15.0,24.0,-8.0,0.65,0
16.0,24.0,-19.5,0.658,0
17.0,24.0,-17.0,0.664,0
18.0,24.0,-12.8,0.666,0
19.0,24.0,-16.5,0.671,0
20.0,24.0,-18.3,0.679,0
21.0,24.0,-17.5,0.685,0
22.0,24.0,-18.8,0.693,0
23.0,24.0,-9.5,0.692,0
24.0,24.0,-7.3,0.69,0
25.0,24.0,-10.0,0.69,0
26.0,24.0,-12.5,0.693,0
27.0,24.0,-16.8,0.699,0
28.0,24.0,-11.0,0.7,0
29.0,24.0,-6.0,0.697,0
30.0,24.0,-1.0,0.689,0
31.0,24.0,-2.5,0.683,0
32.0,24.0,-7.0,0.681,0
33.0,24.0,-7.8,0.68,0
34.0,24.0,-8.3,0.679,0
35.0,24.0,-7.0,0.677,0
36.0,24.0,-6.0,0.675,0
37.0,24.0,-10.5,0.676,0
38.0,24.0,-12.3,0.679,0
39.0,24.0,-9.3,0.68,0
40.0,24.0,-19.0,0.689,0
41.0,24.0,-22.0,0.701,0
42.0,24.0,-25.0,0.716,0
43.0,24.0,-26.3,0.731,0
44.0,24.0,-25.3,0.746,0
45.0,24.0,-23.5,0.76,0
46.0,24.0,-23.3,0.773,0
47.0,24.0,-23.0,0.786,0
48.0,24.0,-17.8,0.794,0
49.0,24.0,-11.5,0.797,0
50.0,24.0,-16.8,0.804,0
51.0,24.0,-13.3,0.809,0
52.0,24.0,-8.3,0.809,0
53.0,24.0,-10.5,0.811,0
54.0,24.0,-21.5,0.823,0
55.0,24.0,-11.5,0.826,0
56.0,24.0,-5.0,0.823,0
57.0,24.0,6.3,0.811,0
58.0,24.0,10.0,0.795,0
59.0,24.0,-12.5,0.799,0
60.0,24.0,-12.0,0.803,0
61.0,24.0,-5.0,0.801,0
62.0,24.0,-1.0,0.795,0
63.0,24.0,1.5,0.787,0
64.0,24.0,-16.5,0.795,0
65.0,24.0,-8.5,0.796,0
66.0,24.0,-0.5,0.79,0
67.0,24.0,-13.5,0.795,0
68.0,24.0,-13.5,0.8,0
69.0,24.0,-8.5,0.801,0
70.0,24.0,-16.5,0.81,0
71.0,24.0,-22.5,0.823,0
72.0,24.0,-18.0,0.833,0
73.0,24.0,-23.5,0.847,0
74.0,24.0,-24.8,0.862,0
75.0,24.0,-19.8,0.873,0
76.0,24.0,-16.5,0.881,0
77.0,24.0,-11.8,0.886,0
78.0,24.0,-1.8,0.881,0
79.0,24.0,-1.3,0.876,0
80.0,24.0,-9.0,0.878,0
81.0,24.0,-9.3,0.88,0
82.0,24.0,-20.5,0.892,0
83.0,24.0,-22.0,0.905,0
84.0,24.0,-15.5,0.912,0
85.0,24.0,-15.5,0.92,0
86.0,24.0,-13.5,0.926,0
87.0,24.0,-10.0,0.929,0
88.0,24.0,-17.0,0.937,0
89.0,24.0,-13.3,0.943,0
90.0,24.0,-3.5,0.94,0
91.0,24.0,5.3,0.93,0
92.0,24.0,3.3,0.922,0
93.0,24.0,1.3,0.915,0
94.0,24.0,2.5,0.907,0
95.0,24.0,-2.3,0.904,0
96.0,24.0,-4.5,0.902,0
97.0,24.0,-8.3,0.904,0
98.0,24.0,-4.5,0.902,0
99.0,24.0,-15.0,0.91,0
100.0,24.0,-11.5,0.914,0
101.0,24.0,-9.3,0.917,0
102.0,24.0,-6.5,0.917,0
103.0,24.0,-14.0,0.924,0
104.0,24.0,-12.0,0.929,0
105.0,24.0,-14.3,0.936,0
106.0,24.0,-13.5,0.942,0
107.0,24.0,-13.3,0.948,0
107.3,6.85,-14.8,0.95,0
108.0,17.15,-14.8,0.954,0
109.0,24.0,-11.0,0.957,0
110.0,24.0,-4.5,0.956,0
111.0,24.0,-2.5,0.954,0
112.0,24.0,0.8,0.95,0
112.1,1.51,4.0,0.95,0
113.0,22.49,4.0,0.942,0
114.0,24.0,-4.0,0.94,0
115.0,24.0,-6.5,0.941,0
116.0,24.0,-5.0,0.94,0
117.0,24.0,-1.5,0.936,0
118.0,24.0,0.8,0.931,0
119.0,24.0,-0.8,0.926,0
120.0,24.0,0.3,0.921,0
121.0,24.0,1.5,0.915,0
122.0,24.0,-4.3,0.914,0
123.0,24.0,-5.5,0.914,0
124.0,24.0,3.8,0.906,0
125.0,24.0,0.3,0.901,0
126.0,24.0,-11.5,0.906,0
127.0,24.0,-8.5,0.908,0
128.0,24.0,-5.8,0.908,0
129.0,24.0,-4.3,0.907,0
130.0,24.0,-3.0,0.905,0
131.0,24.0,2.0,0.898,0
132.0,24.0,-1.5,0.895,0
133.0,24.0,-5.0,0.894,0
134.0,24.0,-5.0,0.894,0
135.0,24.0,-3.3,0.892,0
136.0,24.0,-2.7,0.889,0
137.0,24.0,-2.5,0.887,0
138.0,24.0,-2.3,0.884,0
139.0,24.0,-2.1,0.881,0
140.0,24.0,-1.8,0.877,0
141.0,24.0,-1.6,0.874,0
142.0,24.0,-1.4,0.87,0
